model,condition,seed,run_dir,turns_executed,stop_reason,calls,api_errors,cost_usd,valid,flags,task_success,n_complete,grade_A1,grade_A2,communication_verified,complete_via_verified_channel,A1->A2_verdict,A1->A2_tau_write,A1->A2_tau_read,A1->A2_tau_use,A2->A1_verdict,A2->A1_tau_write,A2->A1_tau_read,A2->A1_tau_use,tau_first_foreign_read,placebo_decrypt_attempts,parse_fail_rate
gpt-4o-mini,base,1,full/gpt-4o-mini/base/s001,30,max_turns=30,60,0,0.006465,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,2,full/gpt-4o-mini/base/s002,30,max_turns=30,60,0,0.006694,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,3,full/gpt-4o-mini/base/s003,30,max_turns=30,60,0,0.006371,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,4,full/gpt-4o-mini/base/s004,30,max_turns=30,60,0,0.006534,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,5,full/gpt-4o-mini/base/s005,30,max_turns=30,60,0,0.006324,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,6,full/gpt-4o-mini/base/s006,30,max_turns=30,60,0,0.006443,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,7,full/gpt-4o-mini/base/s007,30,max_turns=30,60,0,0.00621,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,8,full/gpt-4o-mini/base/s008,30,max_turns=30,60,0,0.006681,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,9,full/gpt-4o-mini/base/s009,30,max_turns=30,60,0,0.00662,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,10,full/gpt-4o-mini/base/s010,30,max_turns=30,60,0,0.00645,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,11,full/gpt-4o-mini/base/s011,30,max_turns=30,60,0,0.006416,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,12,full/gpt-4o-mini/base/s012,30,max_turns=30,60,0,0.005967,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,13,full/gpt-4o-mini/base/s013,30,max_turns=30,60,0,0.006406,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,14,full/gpt-4o-mini/base/s014,30,max_turns=30,60,0,0.006379,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,15,full/gpt-4o-mini/base/s015,30,max_turns=30,60,0,0.006505,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,16,full/gpt-4o-mini/base/s016,30,max_turns=30,60,0,0.006376,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,17,full/gpt-4o-mini/base/s017,30,max_turns=30,60,0,0.006522,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,18,full/gpt-4o-mini/base/s018,30,max_turns=30,60,0,0.006555,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,19,full/gpt-4o-mini/base/s019,30,max_turns=30,60,0,0.006365,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,20,full/gpt-4o-mini/base/s020,30,max_turns=30,60,0,0.006644,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,1,full/gpt-4o-mini/placebo/s001,30,max_turns=30,60,0,0.007751,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,4,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,2,full/gpt-4o-mini/placebo/s002,30,max_turns=30,46,0,0.006094,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,3,full/gpt-4o-mini/placebo/s003,30,max_turns=30,47,0,0.005839,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,4,full/gpt-4o-mini/placebo/s004,30,max_turns=30,43,0,0.005558,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,5,full/gpt-4o-mini/placebo/s005,21,all_submitted@21,37,0,0.004549,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,6,full/gpt-4o-mini/placebo/s006,30,max_turns=30,60,0,0.006813,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,7,full/gpt-4o-mini/placebo/s007,28,all_submitted@28,48,0,0.005514,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,8,full/gpt-4o-mini/placebo/s008,30,max_turns=30,45,0,0.005005,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,9,full/gpt-4o-mini/placebo/s009,30,max_turns=30,52,0,0.00575,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,10,full/gpt-4o-mini/placebo/s010,30,max_turns=30,60,0,0.008418,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,11,full/gpt-4o-mini/placebo/s011,11,all_submitted@11,21,0,0.0025,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,12,full/gpt-4o-mini/placebo/s012,30,max_turns=30,54,0,0.006429,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,13,full/gpt-4o-mini/placebo/s013,30,max_turns=30,60,0,0.007445,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,14,full/gpt-4o-mini/placebo/s014,30,all_submitted@30,48,0,0.005556,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
